fecha,producto,categoria,precio,cantidad,ciudad
2025-09-01,Audífonos,Categoría Electrónica,350,4,CDMX
2025-09-01,Camiseta,Categoría Ropa,180,5,Guadalajara
2025-09-02,Laptop,Categoría Electrónica,12500,2,CDMX
2025-09-02,Zapatos,Categoría Ropa,950,3,Monterrey
2025-09-03,Refrigerador,Categoría Hogar,8900,1,Puebla
2025-09-03,Televisión,Categoría Electrónica,7400,2,CDMX
2025-09-04,Taza,Categoría Hogar,120,8,Guadalajara
2025-09-05,Mochila,Categoría Accesorios,650,4,CDMX
2025-09-05,Licuadora,Categoría Hogar,980,2,Puebla
2025-09-06,Audífonos,Categoría Electrónica,340,3,CDMX
2025-09-06,Zapatos,Categoría Ropa,970,1,Guadalajara
2025-09-07,Camiseta,Categoría Ropa,175,7,Monterrey
2025-09-08,Televisión,Categoría Electrónica,7300,1,CDMX
2025-09-08,Mochila,Categoría Accesorios,670,3,Puebla
2025-09-09,Taza,Categoría Hogar,130,5,Monterrey
2025-09-10,Laptop,Categoría Electrónica,12600,1,Guadalajara
2025-09-10,Licuadora,Categoría Hogar,970,3,CDMX
2025-09-11,Camiseta,Categoría Ropa,185,4,Puebla
2025-09-12,Televisión,Categoría Electrónica,7500,3,Monterrey
2025-09-12,Audífonos,Categoría Electrónica,355,2,CDMX
